DPBench markdown_text BLEU:

mean=0.80 median=0.87 std=0.20

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        1   |       0   |       100   |       2 |
| (0.050, 0.100] |        0.5 |       1   |        99   |       1 |
| (0.100, 0.150] |        0   |       1.5 |        98.5 |       0 |
| (0.150, 0.200] |        0.5 |       1.5 |        98.5 |       1 |
| (0.200, 0.250] |        1   |       2   |        98   |       2 |
| (0.250, 0.300] |        1   |       3   |        97   |       2 |
| (0.300, 0.350] |        1   |       4   |        96   |       2 |
| (0.350, 0.400] |        1   |       5   |        95   |       2 |
| (0.400, 0.450] |        2   |       6   |        94   |       4 |
| (0.450, 0.500] |        1   |       8   |        92   |       2 |
| (0.500, 0.550] |        2.5 |       9   |        91   |       5 |
| (0.550, 0.600] |        1.5 |      11.5 |        88.5 |       3 |
| (0.600, 0.650] |        5   |      13   |        87   |      10 |
| (0.650, 0.700] |        2.5 |      18   |        82   |       5 |
| (0.700, 0.750] |        3.5 |      20.5 |        79.5 |       7 |
| (0.750, 0.800] |        8   |      24   |        76   |      16 |
| (0.800, 0.850] |       11.5 |      32   |        68   |      23 |
| (0.850, 0.900] |       17   |      43.5 |        56.5 |      34 |
| (0.900, 0.950] |       23.5 |      60.5 |        39.5 |      47 |
| (0.950, 1.000] |       16   |      84   |        16   |      32 |
