DocLayNetV1 markdown_text BLEU:

mean=0.16 median=0.02 std=0.25

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |      58.39 |      0    |      100    |    2335 |
| (0.050, 0.100] |       6.88 |     58.39 |       41.61 |     275 |
| (0.100, 0.150] |       4.55 |     65.27 |       34.73 |     182 |
| (0.150, 0.200] |       4.43 |     69.82 |       30.18 |     177 |
| (0.200, 0.250] |       3.25 |     74.24 |       25.76 |     130 |
| (0.250, 0.300] |       1.88 |     77.49 |       22.51 |      75 |
| (0.300, 0.350] |       1.93 |     79.37 |       20.63 |      77 |
| (0.350, 0.400] |       2    |     81.3  |       18.7  |      80 |
| (0.400, 0.450] |       1.68 |     83.3  |       16.7  |      67 |
| (0.450, 0.500] |       1.35 |     84.97 |       15.03 |      54 |
| (0.500, 0.550] |       1.3  |     86.32 |       13.68 |      52 |
| (0.550, 0.600] |       2.3  |     87.62 |       12.38 |      92 |
| (0.600, 0.650] |       1.73 |     89.92 |       10.08 |      69 |
| (0.650, 0.700] |       2.13 |     91.65 |        8.35 |      85 |
| (0.700, 0.750] |       2.1  |     93.77 |        6.23 |      84 |
| (0.750, 0.800] |       1.3  |     95.87 |        4.13 |      52 |
| (0.800, 0.850] |       1.03 |     97.17 |        2.83 |      41 |
| (0.850, 0.900] |       0.35 |     98.2  |        1.8  |      14 |
| (0.900, 0.950] |       0.3  |     98.55 |        1.45 |      12 |
| (0.950, 1.000] |       1.15 |     98.85 |        1.15 |      46 |
