DocLayNetV1 reading_order ARD_norm:

mean=0.82 median=0.83 std=0.14

| ARD_norm       |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |       0.2  |      0    |      100    |       8 |
| (0.050, 0.100] |       0    |      0.2  |       99.8  |       0 |
| (0.100, 0.150] |       0    |      0.2  |       99.8  |       0 |
| (0.150, 0.200] |       0    |      0.2  |       99.8  |       0 |
| (0.200, 0.250] |       0    |      0.2  |       99.8  |       0 |
| (0.250, 0.300] |       0    |      0.2  |       99.8  |       0 |
| (0.300, 0.350] |       0    |      0.2  |       99.8  |       0 |
| (0.350, 0.400] |       0    |      0.2  |       99.8  |       0 |
| (0.400, 0.450] |       0    |      0.2  |       99.8  |       0 |
| (0.450, 0.500] |       0    |      0.2  |       99.8  |       0 |
| (0.500, 0.550] |       2.53 |      0.2  |       99.8  |     101 |
| (0.550, 0.600] |       4.05 |      2.73 |       97.27 |     162 |
| (0.600, 0.650] |       4.93 |      6.78 |       93.22 |     197 |
| (0.650, 0.700] |       8.33 |     11.7  |       88.3  |     333 |
| (0.700, 0.750] |      10.08 |     20.03 |       79.97 |     403 |
| (0.750, 0.800] |      14.05 |     30.11 |       69.89 |     562 |
| (0.800, 0.850] |      11.6  |     44.16 |       55.84 |     464 |
| (0.850, 0.900] |       8.7  |     55.76 |       44.24 |     348 |
| (0.900, 0.950] |       9.45 |     64.47 |       35.53 |     378 |
| (0.950, 1.000] |      26.08 |     73.92 |       26.08 |    1043 |
