OmniDocBench markdown_text BLEU:

mean=0.29 median=0.12 std=0.33

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |      43.63 |      0    |      100    |     428 |
| (0.050, 0.100] |       4.59 |     43.63 |       56.37 |      45 |
| (0.100, 0.150] |       4.49 |     48.22 |       51.78 |      44 |
| (0.150, 0.200] |       3.36 |     52.7  |       47.3  |      33 |
| (0.200, 0.250] |       3.77 |     56.07 |       43.93 |      37 |
| (0.250, 0.300] |       2.75 |     59.84 |       40.16 |      27 |
| (0.300, 0.350] |       2.04 |     62.59 |       37.41 |      20 |
| (0.350, 0.400] |       1.53 |     64.63 |       35.37 |      15 |
| (0.400, 0.450] |       2.34 |     66.16 |       33.84 |      23 |
| (0.450, 0.500] |       2.14 |     68.5  |       31.5  |      21 |
| (0.500, 0.550] |       1.83 |     70.64 |       29.36 |      18 |
| (0.550, 0.600] |       1.43 |     72.48 |       27.52 |      14 |
| (0.600, 0.650] |       3.06 |     73.9  |       26.1  |      30 |
| (0.650, 0.700] |       3.36 |     76.96 |       23.04 |      33 |
| (0.700, 0.750] |       2.85 |     80.33 |       19.67 |      28 |
| (0.750, 0.800] |       3.36 |     83.18 |       16.82 |      33 |
| (0.800, 0.850] |       4.38 |     86.54 |       13.46 |      43 |
| (0.850, 0.900] |       5.5  |     90.93 |        9.07 |      54 |
| (0.900, 0.950] |       2.75 |     96.43 |        3.57 |      27 |
| (0.950, 1.000] |       0.82 |     99.18 |        0.82 |       8 |
